ANIO;MES;AREA;ESTRATO;LLAVE_PANEL;CONGLOMERADO;MUESTRA;SELVIV;HOGAR;C201;C203;C204;C205;C206;C207;C208;C300n;NROINF;C301_DIA;C301_MES;C301_ANIO;C303;C304;C305;C306_1;C306_2;C306_3;C306_4;C306_5;C306_6;C306_7;C306_8;C306_9;C306_10;C306_10A;C306_11;C306A;C308_COD;C309_COD;C310;C311;C312;C313;C317;C317A;C318_1;C318_2;C318_3;C318_4;C318_5;C318_6;C318_7;C318_T;C328_T;whoraT;C330;C331;C333;C334;P209H;C335;C338;C339_1;C341_T;C342;C344;C345_1;C347_T;C348;C350;C352;C353;C354;C355;C356;C357_I;C358;C359;C361_1;C362_1;C361_2;C362_2;C361_3;C362_3;C361_4;C362_4;C361_5;C362_5;C361_6;C362_6;C361_7;C362_7;C361_8;C362_8;C364_1;C365_1;C364_2;C365_2;C364_3;C365_3;C364_4;C365_4;C366;C366_1;C366_2;C375_1;C375_2;C375_3;C375_4;C375_5;C375_6;C376;C377;OCUP300;D341_T;D344;D347_T;D350;D351_T;I339_1;I342;I345_1;I348;INGTOT;INGTOTP;ingtrabw;RESIDENT;FAC_T300
2023;4;1;1;2.02E+22;17407;1;128;1;1;1;1;2; ;2;21;1;1;22;7;2001;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4222;8220;3;5;1; ;4;300;0;10;10;10;10;10;0;50; ;50;1; ;2; ;2;2;4;1800; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;1;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;10;7;1; ; ; ; ;459;1800; ; ; ;1800;1800;2259;1;460.052.689.467.194
2023;4;1;1;2.02E+22;47172;1;37;1;2;1;1;2; ;1;43;2;2;17;5;1979;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9313;4100;3;5;3;2;1;5;0;9;9;9;9;9;9;54; ;54;1; ;2; ;2;2;2;480; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;10;7;1; ; ; ; ; ;2078; ; ; ;2078;2078;2078;1;810.758.057.340.368
2023;4;1;1;2.02E+22;47172;1;37;1;1;2;1;2; ;2;46;1;1;8;2;1977;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9533;4799;2; ;3;2;1;1;0;1;1;1;1;1;1;6; ;6;1; ;1;2;2;2; ; ; ;800;60; ; ; ; ; ; ; ; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;10;1;1; ;60; ; ; ; ;780; ; ;840;840;840;1;605.125.076.939.324
2023;4;1;1;2.02E+22;47172;1;37;1;3;3;1;2; ;1;21;3;3;24;11;2001;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5141;9602;3;5;2;2;1;3;8;7;7;7;7;7;7;50;10;60;1; ;2; ;2;2;1;60; ; ; ;779;8; ; ; ; ; ; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;10;7;1; ; ;240; ; ;1800; ;779; ;2819;1800;2819;1;781.954.910.686.981
2023;4;1;1;2.02E+22;47172;1;37;1;4;3;1;2; ;2;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 
2023;4;1;1;2.02E+24;2985501;1;17;1;1;1;1;2; ;2;51;1;1;14;12;1971;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9111;9700;6; ; ; ;1;2;0;6;0;0;6;0;0;12;6;18;1; ;1;1;1;2;2;140;40; ; ;210; ; ; ; ; ; ; ; ; ; ;1;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;10;7;1;173; ; ; ; ;606; ;210; ;989;779;989;1;581.188.860.964.625
2023;4;1;1;2.02E+24;2985501;1;17;1;2;3;1;2; ;1;17;2;2;26;5;2005;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;1;2; ; ; ;1;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;10;7;4; ; ; ; ; ; ; ; ; ; ; ; ;1;751.024.046.411.203
2023;4;1;1;2.02E+24;2985501;1;17;1;3;3;1;2; ;1;15;3;3;2;1;2008;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9111;9700;6; ; ; ;1;2;0;4;4;4;4;4;4;24; ;24;1; ;2; ;2;2;2;70; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;5;3; ;2;2;2;2;2;2;10;7;1; ; ; ; ; ;303; ; ; ;303;303;303;1;751.024.046.411.203
2023;4;1;1;2.02E+22;17965;1;98;1;1;1;1;2; ;1;63;1;1;8;7;1959;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7222;2511;2; ;3;2;1;1;0;5;5;0;0;5;6;21; ;35;2;35;1;1;1;2; ; ; ;1300; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;2;2; ;2; ;5;3; ;2;2;2;2;2;2;10;7;1; ; ; ; ; ; ;1300; ; ;1300;1300;1300;1;302.681.524.708.679
2023;4;1;1;2.02E+22;17871;1;86;1;1;1;1;2; ;2;84;1;1;25;12;1938;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;6;1;2; ; ; ;1;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;4;5; ;2;2;2;2;2;2;10;7;4; ; ; ; ; ; ; ; ; ; ; ; ;1;206.713.390.071.077
